8,0,17,MH,2,[1. 1.]
375,4468,157,DAMH,2,[2. 2.]
7,0,18,MH,3,[1. 1.]
396,4562,42,DAMH,3,[2. 2.]
6,0,19,MH,4,[1. 1.]
403,4561,36,DAMH,4,[2. 2.]
12,0,13,MH,5,[1. 1.]
457,4524,19,DAMH,5,[2. 2.]
2,0,23,MH,6,[1. 1.]
443,4531,26,DAMH,6,[2. 2.]
8,0,17,MH,2,[1. 1.]
351,4512,137,ADAMH,2,[2. 2.]
7,0,18,MH,3,[1. 1.]
404,4546,50,ADAMH,3,[2. 2.]
6,0,19,MH,4,[1. 1.]
414,4541,45,ADAMH,4,[2. 2.]
12,0,13,MH,5,[1. 1.]
481,4485,34,ADAMH,5,[2. 2.]
2,0,23,MH,6,[1. 1.]
402,4585,13,ADAMH,6,[2. 2.]
8,0,17,MH,2,[1. 1.]
457,4541,2,DAMHSMU,2,[2. 2.]
7,0,18,MH,3,[1. 1.]
444,4543,13,DAMHSMU,3,[2. 2.]
6,0,19,MH,4,[1. 1.]
448,4550,2,DAMHSMU,4,[2. 2.]
12,0,13,MH,5,[1. 1.]
466,4531,3,DAMHSMU,5,[2. 2.]
2,0,23,MH,6,[1. 1.]
431,4565,4,DAMHSMU,6,[2. 2.]
11,0,39,MH,2,[1. 1.]
427,4564,9,DAMH,2,[2. 2.]
12,0,38,MH,3,[1. 1.]
451,4537,12,DAMH,3,[2. 2.]
11,0,39,MH,4,[1. 1.]
385,4558,57,DAMH,4,[2. 2.]
20,0,30,MH,5,[1. 1.]
466,4521,13,DAMH,5,[2. 2.]
7,0,43,MH,6,[1. 1.]
454,4540,6,DAMH,6,[2. 2.]
11,0,39,MH,2,[1. 1.]
482,4505,13,ADAMH,2,[2. 2.]
12,0,38,MH,3,[1. 1.]
436,4552,12,ADAMH,3,[2. 2.]
11,0,39,MH,4,[1. 1.]
371,4576,53,ADAMH,4,[2. 2.]
20,0,30,MH,5,[1. 1.]
447,4532,21,ADAMH,5,[2. 2.]
7,0,43,MH,6,[1. 1.]
458,4527,15,ADAMH,6,[2. 2.]
11,0,39,MH,2,[1. 1.]
470,4526,4,DAMHSMU,2,[2. 2.]
12,0,38,MH,3,[1. 1.]
448,4547,5,DAMHSMU,3,[2. 2.]
11,0,39,MH,4,[1. 1.]
453,4543,4,DAMHSMU,4,[2. 2.]
20,0,30,MH,5,[1. 1.]
459,4538,3,DAMHSMU,5,[2. 2.]
7,0,43,MH,6,[1. 1.]
453,4545,2,DAMHSMU,6,[2. 2.]
17,0,58,MH,2,[1. 1.]
473,4516,11,DAMH,2,[2. 2.]
